debugPYKP9U:debugEAZRR9,0,1464989894015,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugPYKP9U:debugEAZRR9,1,1464989894917,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 898, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
debugPYKP9U:debugEAZRR9,2,1464989895643,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 725, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
debugPYKP9U:debugEAZRR9,3,1464989896403,"{""rt"": -1, ""hit"": -1, ""lettertime"": 250, ""respsame"": -1, ""trialtype"": ""nontarget"", ""letter"": ""Q"", ""phase"": ""TEST"", ""response"": ""noresp""}"
debugPYKP9U:debugEAZRR9,4,1464989897154,"{""rt"": 272, ""hit"": false, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""nontarget"", ""letter"": ""Q"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,5,1464989897904,"{""rt"": 304, ""hit"": true, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""target"", ""letter"": ""Q"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,6,1464989898655,"{""rt"": 299, ""hit"": false, ""lettertime"": 251, ""respsame"": 1, ""trialtype"": ""nontarget"", ""letter"": ""C"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,7,1464989899406,"{""rt"": 259, ""hit"": true, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""target"", ""letter"": ""Q"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,8,1464989900156,"{""rt"": 180, ""hit"": false, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""nontarget"", ""letter"": ""K"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,9,1464989900907,"{""rt"": 110, ""hit"": true, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""target"", ""letter"": ""Q"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,10,1464989901658,"{""rt"": 71, ""hit"": false, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""nontarget"", ""letter"": ""C"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,11,1464989902409,"{""rt"": 81, ""hit"": false, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""nontarget"", ""letter"": ""T"", ""phase"": ""TEST"", ""response"": ""target""}"
debugPYKP9U:debugEAZRR9,12,1464989903160,"{""rt"": 41, ""hit"": false, ""lettertime"": 250, ""respsame"": 1, ""trialtype"": ""nontarget"", ""letter"": ""Q"", ""phase"": ""TEST"", ""response"": ""target""}"
